一	 yi_1
专场	 zhuan_1 chang_3
专属	 zhuan_1 shu_3
专科学校	 zhuan_1 ke_1 xue_2 xiao_4
专营店	 zhuan_1 ying_2 dian_4
专辑	 zhuan_1 ji_2
专门	 zhuan_1 men_2
且	 qie_3
且末	 qie_3 mo_4
丕	 pi_1
世	 shi_4
世上	 shi_4 shang_4
世代	 shi_4 dai_4
世博	 shi_4 bo_2
世博园	 shi_4 bo_2 yuan_2
世园	 shi_4 yuan_2
世外桃源	 shi_4 wai_4 tao_2 yuan_2
世家	 shi_4 jia_1
世尊	 shi_4 zun_1
世界	 shi_4 jie_4
世界之窗	 shi_4 jie_4 zhi_1 chuang_1
世界末日	 shi_4 jie_4 mo_4 ri_4
世界杯	 shi_4 jie_4 bei_1
世界语	 shi_4 jie_4 yu_3
世相	 shi_4 xiang_1
世纪	 shi_4 ji_4
世贸	 shi_4 mao_4
世贸中心	 shi_4 mao_4 zhong_1 xin_1
丘	 qiu_1
丙	 bing_3
业	 ye_4
业余	 ye_4 yu_2
丛	 cong_2
东	 dong_1
东三环	 dong_1 san_1 huan_2
东东	 dong_1 dong_1
东丽	 dong_1 li_4
东丽区	 dong_1 li_4 qu_1
东二环	 dong_1 er_4 huan_2
东亚	 dong_1 ya_4
东京	 dong_1 jing_1
东侧	 dong_1 ce_4
东光	 dong_1 guang_1
东关	 dong_1 guan_1
东兴	 dong_1 xing_4
东兴市	 dong_1 xing_4 shi_4
东北	 dong_1 bei_3
东北亚	 dong_1 bei_3 ya_4
东北侧	 dong_1 bei_3 ce_4
东北师范大学	 dong_1 bei_3 shi_1 fan_4 da_4 xue_2
东北菜	 dong_1 bei_3 cai_4
东北角	 dong_1 bei_3 jiao_3
东北风	 dong_1 bei_3 feng_1
东区	 dong_1 qu_1
东升	 dong_1 sheng_1
东升镇	 dong_1 sheng_1 zhen_4
东华	 dong_1 hua_2
东华门	 dong_1 hua_2 men_2
东单	 dong_1 dan_1
东南	 dong_1 nan_2
东南亚	 dong_1 nan_2 ya_4
东南侧	 dong_1 nan_2 ce_4
东南大学	 dong_1 nan_2 da_4 xue_2
东南角	 dong_1 nan_2 jiao_3
东台市	 dong_1 tai_2 shi_4
东君	 dong_1 jun_1
东吴	 dong_1 wu_2
东四	 dong_1 si_4
东四十条	 dong_1 si_4 shi_2 tiao_2
东四南大街	 dong_1 si_4 nan_2 da_4 jie_1
东四环	 dong_1 si_4 huan_2
东园	 dong_1 yuan_2
东坝	 dong_1 ba_4
东坡	 dong_1 po_1
东坡肉	 dong_1 po_1 rou_4
东城	 dong_1 cheng_2
东城区	 dong_1 cheng_2 qu_1
东塘	 dong_1 tang_2
东墙	 dong_1 qiang_2
东大桥	 dong_1 da_4 qiao_2
东大街	 dong_1 da_4 jie_1
东大路	 dong_1 da_4 lu_4
东头	 dong_1 tou_2
东宁	 dong_1 ning_2
东安	 dong_1 an_1
东安区	 dong_1 an_1 qu_1
东安县	 dong_1 an_1 xian_4
东宝	 dong_1 bao_3
东宫	 dong_1 gong_1
东富	 dong_1 fu_4
东寺	 dong_1 si_4
东山	 dong_1 shan_1
东山区	 dong_1 shan_1 qu_1
东山镇	 dong_1 shan_1 zhen_4
东岭	 dong_1 ling_3
东岳	 dong_1 yue_4
东岸	 dong_1 an_4
东川	 dong_1 chuan_1
东川路	 dong_1 chuan_1 lu_4
东平	 dong_1 ping_2
东平县	 dong_1 ping_2 xian_4
东平路	 dong_1 ping_2 lu_4
东庄	 dong_1 zhuang_1
东新路	 dong_1 xin_1 lu_4
东方	 dong_1 fang_1
东方不败	 dong_1 fang_1 bu_4 bai_4
东方城	 dong_1 fang_1 cheng_2
东方广场	 dong_1 fang_1 guang_3 chang_3
东方明珠	 dong_1 fang_1 ming_2 zhu_1
东方红	 dong_1 fang_1 hong_2
东方航空	 dong_1 fang_1 hang_2 kong_1
东方航空公司	 dong_1 fang_1 hang_2 kong_1 gong_1 si_1
东方艺术	 dong_1 fang_1 yi_4 shu_4
东方花园	 dong_1 fang_1 hua_1 yuan_2
东方路	 dong_1 fang_1 lu_4
东昌路	 dong_1 chang_1 lu_4
东明	 dong_1 ming_2
东明路	 dong_1 ming_2 lu_4
东村	 dong_1 cun_1
东来顺	 dong_1 lai_2 shun_4
东林	 dong_1 lin_2
东校区	 dong_1 xiao_4 qu_1
东段	 dong_1 duan_4
东汉	 dong_1 han_4
东江	 dong_1 jiang_1
东沙	 dong_1 sha_1
东河	 dong_1 he_2
东洋	 dong_1 yang_2
东洲	 dong_1 zhou_1
东流	 dong_1 liu_2
东海	 dong_1 hai_3
东海岸	 dong_1 hai_3 an_4
东海路	 dong_1 hai_3 lu_4
东港	 dong_1 gang_3
东港区	 dong_1 gang_3 qu_1
东湖	 dong_1 hu_2
东湖区	 dong_1 hu_2 qu_1
东湖路	 dong_1 hu_2 lu_4
东环路	 dong_1 huan_2 lu_4
东盛	 dong_1 sheng_4
东盟	 dong_1 meng_2
东直门	 dong_1 zhi_2 men_2
东石	 dong_1 shi_2
东站	 dong_1 zhan_4
东经	 dong_1 jing_1
东胜	 dong_1 sheng_4
东胡	 dong_1 hu_2
东至	 dong_1 zhi_4
东航	 dong_1 hang_2
东莞	 dong_1 guan_3
东莞市	 dong_1 guan_3 shi_4
东营	 dong_1 ying_2
东营区	 dong_1 ying_2 qu_1
东营市	 dong_1 ying_2 shi_4
东街	 dong_1 jie_1
东街口	 dong_1 jie_1 kou_3
东西	 dong_1 xi_1
东西湖区	 dong_1 xi_1 hu_2 qu_1
东路	 dong_1 lu_4
东辛房	 dong_1 xin_1 fang_2
东边	 dong_1 bian_1
东郊	 dong_1 jiao_1
东部	 dong_1 bu_4
东野	 dong_1 ye_3
东钱湖	 dong_1 qian_2 hu_2
东门	 dong_1 men_2
东门市场	 dong_1 men_2 shi_4 chang_3
东门路	 dong_1 men_2 lu_4
东阳	 dong_1 yang_2
东阳市	 dong_1 yang_2 shi_4
东阿县	 dong_1 e_1 xian_4
东院	 dong_1 yuan_4
东陵	 dong_1 ling_2
东风	 dong_1 feng_1
东风村	 dong_1 feng_1 cun_1
东风破	 dong_1 feng_1 po_4
东风路	 dong_1 feng_1 lu_4
东马	 dong_1 ma_3
丝	 si_1
丝瓜	 si_1 gua_1
丝织	 si_1 zhi_1
丝路	 si_1 lu_4
丢	 diu_1
两	 liang_3
两万	 liang_3 wan_4
两三天	 liang_3 san_1 tian_1
两个	 liang_3 ge_4
两个人	 liang_3 ge_4 ren_2
两公里	 liang_3 gong_1 li_3
两千	 liang_3 qian_1
两千两	 liang_3 qian_1 liang_3
两千五百	 liang_3 qian_1 wu_3 bai_3
两千元	 liang_3 qian_1 yuan_2
两千八	 liang_3 qian_1 ba_1
两千四百	 liang_3 qian_1 si_4 bai_3
两千块	 liang_3 qian_1 kuai_4
两千米	 liang_3 qian_1 mi_3
两只	 liang_3 zhi_3
两员	 liang_3 yuan_2
两周	 liang_3 zhou_1
两天	 liang_3 tian_1
两家	 liang_3 jia_1
两岸	 liang_3 an_4
两张	 liang_3 zhang_1
两条	 liang_3 tiao_2
两江	 liang_3 jiang_1
两湾城	 liang_3 wan_1 cheng_2
两点	 liang_3 dian_3
两百	 liang_3 bai_3
两百五十	 liang_3 bai_3 wu_3 shi_2
两百元	 liang_3 bai_3 yuan_2
两百块	 liang_3 bai_3 kuai_4
两百米	 liang_3 bai_3 mi_3
两种	 liang_3 zhong_3
两站	 liang_3 zhan_4
两端	 liang_3 duan_1
两米	 liang_3 mi_3
两袖清风	 liang_3 xiu_4 qing_1 feng_1
两道	 liang_3 dao_4
两间	 liang_3 jian_1
两面针	 liang_3 mian_4 zhen_1
两首	 liang_3 shou_3
严	 yan_2
严家	 yan_2 jia_1
严州	 yan_2 zhou_1
严重	 yan_2 zhong_4
严重不足	 yan_2 zhong_4 bu_4 zu_2
个	 ge_4
个人	 ge_4 ren_2
个人资料	 ge_4 ren_2 zi_1 liao_4
个体经济	 ge_4 ti_3 jing_1 ji_4
个头	 ge_4 tou_2
个性	 ge_4 xing_4
丫	 ya_1
丫头	 ya_1 tou_0
中	 zhong_1
中三	 zhong_1 san_1
中世纪	 zhong_1 shi_4 ji_4
中东	 zhong_1 dong_1
中二	 zhong_1 er_4
中亚	 zhong_1 ya_4
中产	 zhong_1 chan_3
中信	 zhong_1 xin_4
中信银行	 zhong_1 xin_4 yin_2 hang_2
中共	 zhong_1 gong_4
中关村	 zhong_1 guan_1 cun_1
中兴	 zhong_1 xing_4
中兴路	 zhong_1 xing_4 lu_4
中凯	 zhong_1 kai_3
中加	 zhong_1 jia_1
中化	 zhong_1 hua_4
中北路	 zhong_1 bei_3 lu_4
中医	 zhong_1 yi_1
中医医院	 zhong_1 yi_1 yi_1 yuan_4
中医学院	 zhong_1 yi_1 xue_2 yuan_4
中医药	 zhong_1 yi_1 yao_4
中医药大学	 zhong_1 yi_1 yao_4 da_4 xue_2
中医院	 zhong_1 yi_1 yuan_4
中午	 zhong_1 wu_3
中华	 zhong_1 hua_2
中华人民共和国	 zhong_1 hua_2 ren_2 min_2 gong_4 he_2 guo_2
中华街	 zhong_1 hua_2 jie_1
中华路	 zhong_1 hua_2 lu_4
中南	 zhong_1 nan_2
中南大学	 zhong_1 nan_2 da_4 xue_2
中卫	 zhong_1 wei_4
中原	 zhong_1 yuan_2
中去	 zhong_1 qu_4
中国	 zhong_1 guo_2
中国人民大学	 zhong_1 guo_2 ren_2 min_2 da_4 xue_2
中国人民解放军	 zhong_1 guo_2 ren_2 min_2 jie_3 fang_4 jun_1
中国共产党	 zhong_1 guo_2 gong_4 chan_3 dang_3
中国农业大学	 zhong_1 guo_2 nong_2 ye_4 da_4 xue_2
中国农业银行	 zhong_1 guo_2 nong_2 ye_4 yin_2 hang_2
中国国歌	 zhong_1 guo_2 guo_2 ge_1
中国国际展览中心	 zhong_1 guo_2 guo_2 ji_4 zhan_3 lan_3 zhong_1 xin_1
中国国际贸易促进委员会	 zhong_1 guo_2 guo_2 ji_4 mao_4 yi_4 cu_4 jin_4 wei_3 yuan_2 hui_4
中国大酒店	 zhong_1 guo_2 da_4 jiu_3 dian_4
中国少年先锋队	 zhong_1 guo_2 shao_4 nian_2 xian_1 feng_1 dui_4
中国工商银行	 zhong_1 guo_2 gong_1 shang_1 yin_2 hang_2
中国建设银行	 zhong_1 guo_2 jian_4 she_4 yin_2 hang_2
中国电信	 zhong_1 guo_2 dian_4 xin_4
中国矿业大学	 zhong_1 guo_2 kuang_4 ye_4 da_4 xue_2
中国科大	 zhong_1 guo_2 ke_1 da_4
中国移动	 zhong_1 guo_2 yi_2 dong_4
中国联通	 zhong_1 guo_2 lian_2 tong_1
中国邮政	 zhong_1 guo_2 you_2 zheng_4
中国银行	 zhong_1 guo_2 yin_2 hang_2
中国青年政治学院	 zhong_1 guo_2 qing_1 nian_2 zheng_4 zhi_4 xue_2 yuan_4
中大奖	 zhong_1 da_4 jiang_3
中央	 zhong_1 yang_1
中央人民广播电台	 zhong_1 yang_1 ren_2 min_2 guang_3 bo_1 dian_4 tai_2
中央公园	 zhong_1 yang_1 gong_1 yuan_2
中央团校	 zhong_1 yang_1 tuan_2 xiao_4
中央大街	 zhong_1 yang_1 da_4 jie_1
中央档案馆	 zhong_1 yang_1 dang_4 an_4 guan_3
中央民族大学	 zhong_1 yang_1 min_2 zu_2 da_4 xue_2
中央电视台	 zhong_1 yang_1 dian_4 shi_4 tai_2
中央美院	 zhong_1 yang_1 mei_3 yuan_4
中央财经	 zhong_1 yang_1 cai_2 jing_1
中学	 zhong_1 xue_2
中宁	 zhong_1 ning_2
中宇	 zhong_1 yu_3
中小企业	 zhong_1 xiao_3 qi_3 ye_4
中小学生	 zhong_1 xiao_3 xue_2 sheng_1
中山	 zhong_1 shan_1
中山东路	 zhong_1 shan_1 dong_1 lu_4
中山公园	 zhong_1 shan_1 gong_1 yuan_2
中山北路	 zhong_1 shan_1 bei_3 lu_4
中山南路	 zhong_1 shan_1 nan_2 lu_4
中山堂	 zhong_1 shan_1 tang_2
中山大学	 zhong_1 shan_1 da_4 xue_2
中山大道	 zhong_1 shan_1 da_4 dao_4
中山市	 zhong_1 shan_1 shi_4
中山西路	 zhong_1 shan_1 xi_1 lu_4
中山路	 zhong_1 shan_1 lu_4
中山陵	 zhong_1 shan_1 ling_2
中岛美雪	 zhong_1 dao_3 mei_3 xue_3
中峰	 zhong_1 feng_1
中川	 zhong_1 chuan_1
中州	 zhong_1 zhou_1
中平	 zhong_1 ping_2
中建	 zhong_1 jian_4
中式	 zhong_1 shi_4
中影	 zhong_1 ying_3
中心	 zhong_1 xin_1
中心区	 zhong_1 xin_1 qu_1
中心医院	 zhong_1 xin_1 yi_1 yuan_4
中心小学	 zhong_1 xin_1 xiao_3 xue_2
中心广场	 zhong_1 xin_1 guang_3 chang_3
中心校	 zhong_1 xin_1 xiao_4
中心站	 zhong_1 xin_1 zhan_4
中意	 zhong_1 yi_4
中文	 zhong_1 wen_2
中文歌曲	 zhong_1 wen_2 ge_1 qu_3
中文版	 zhong_1 wen_2 ban_3
中文舞曲	 zhong_1 wen_2 wu_3 qu_3
中断	 zhong_1 duan_4
中旅	 zhong_1 lv_3
中日	 zhong_1 ri_4
中日友好医院	 zhong_1 ri_4 you_3 hao_3 yi_1 yuan_4
中旬	 zhong_1 xun_2
中星	 zhong_1 xing_1
中欧	 zhong_1 ou_1
中正	 zhong_1 zheng_4
中段	 zhong_1 duan_4
中汇	 zhong_1 hui_4
中江县	 zhong_1 jiang_1 xian_4
中泰	 zhong_1 tai_4
中海	 zhong_1 hai_3
中港	 zhong_1 gang_3
中港城	 zhong_1 gang_3 cheng_2
中环	 zhong_1 huan_2
中百	 zhong_1 bai_3
中石化	 zhong_1 shi_2 hua_4
中秋	 zhong_1 qiu_1
中秋节	 zhong_1 qiu_1 jie_2
中科	 zhong_1 ke_1
中科大	 zhong_1 ke_1 da_4
中科院	 zhong_1 ke_1 yuan_4
中等	 zhong_1 deng_3
中等专业	 zhong_1 deng_3 zhuan_1 ye_4
中策	 zhong_1 ce_4
中粮	 zhong_1 liang_2
中级	 zhong_1 ji_2
中级法院	 zhong_1 ji_2 fa_3 yuan_4
中纺	 zhong_1 fang_3
中线	 zhong_1 xian_4
中联	 zhong_1 lian_2
中航	 zhong_1 hang_2
中苑	 zhong_1 yuan_4
中英街	 zhong_1 ying_1 jie_1
中药	 zhong_1 yao_4
中行	 zhong_1 hang_2
中街	 zhong_1 jie_1
中西	 zhong_1 xi_1
中西医	 zhong_1 xi_1 yi_1
中路	 zhong_1 lu_4
中远	 zhong_1 yuan_3
中邪	 zhong_1 xie_2
中部	 zhong_1 bu_4
中铁	 zhong_1 tie_3
中银	 zhong_1 yin_2
中队	 zhong_1 dui_4
中青	 zhong_1 qing_1
中餐	 zhong_1 can_1
中餐厅	 zhong_1 can_1 ting_1
中餐馆	 zhong_1 can_1 guan_3
丰	 feng_1
丰乐	 feng_1 le_4
丰体	 feng_1 ti_3
丰南	 feng_1 nan_2
丰原	 feng_1 yuan_2
丰县	 feng_1 xian_4
丰台	 feng_1 tai_2
丰台区	 feng_1 tai_2 qu_1
丰城	 feng_1 cheng_2
丰泽区	 feng_1 ze_2 qu_1
丰泽园	 feng_1 ze_2 yuan_2
丰润	 feng_1 run_4
丰满	 feng_1 man_3
丰田	 feng_1 tian_2
丰盛	 feng_1 sheng_4
丰裕	 feng_1 yu_4
丰都	 feng_1 dou_1
丰镇	 feng_1 zhen_4
丰顺	 feng_1 shun_4
串	 chuan_4
串串	 chuan_4 chuan_4
串串香	 chuan_4 chuan_4 xiang_1
串烧	 chuan_4 shao_1
串门	 chuan_4 men_2
临	 lin_2
临县	 lin_2 xian_4
临安	 lin_2 an_1
临安市	 lin_2 an_1 shi_4
临客	 lin_2 ke_4
临川县	 lin_2 chuan_1 xian_4
临时	 lin_2 shi_2
临朐	 lin_2 qu_2
临江	 lin_2 jiang_1
临江门	 lin_2 jiang_1 men_2
临汾	 lin_2 fen_2
临汾市	 lin_2 fen_2 shi_4
临汾路	 lin_2 fen_2 lu_4
临沂	 lin_2 yi_2
临沂市	 lin_2 yi_2 shi_4
临沧	 lin_2 cang_1
临沧市	 lin_2 cang_1 shi_4
临河	 lin_2 he_2
临泉县	 lin_2 quan_2 xian_4
临泽	 lin_2 ze_2
临泽县	 lin_2 ze_2 xian_4
临洮	 lin_2 tao_2
临海	 lin_2 hai_3
临渭区	 lin_2 wei_4 qu_1
临港	 lin_2 gang_3
临湘	 lin_2 xiang_1
临潼	 lin_2 tong_2
临翔区	 lin_2 xiang_2 qu_1
临街	 lin_2 jie_1
临西	 lin_2 xi_1
临西县	 lin_2 xi_1 xian_4
临颍	 lin_2 ying_3
临颍县	 lin_2 ying_3 xian_4
丶	 zhu_3
丹	 dan_1
丹东	 dan_1 dong_1
丹东市	 dan_1 dong_1 shi_4
丹凤	 dan_1 feng_4
丹尼斯	 dan_1 ni_2 si_1
丹巴	 dan_1 ba_1
丹徒	 dan_1 tu_2
丹桂	 dan_1 gui_4
丹棱	 dan_1 leng_2
丹江	 dan_1 jiang_1
丹阳	 dan_1 yang_2
丹阳市	 dan_1 yang_2 shi_4
丹霞	 dan_1 xia_2
丹顶鹤	 dan_1 ding_3 he_4
丹顿	 dan_1 dun_4
丹麦	 dan_1 mai_4
为	 wei_4
为主	 wei_2 zhu_3
为了	 wei_4 le_0
为什么	 wei_4 shen_2 me_0
为何	 wei_4 he_2
为情所伤	 wei_4 qing_2 suo_3 shang_1
为此	 wei_4 ci_3
主	 zhu_3
主义	 zhu_3 yi_4
主体	 zhu_3 ti_3
主厨	 zhu_3 chu_2
主席	 zhu_3 xi_2
主战	 zhu_3 zhan_4
主持人	 zhu_3 chi_2 ren_2
主教练	 zhu_3 jiao_4 lian_4
主架	 zhu_3 jia_4
主演	 zhu_3 yan_3
主要	 zhu_3 yao_4
主视图	 zhu_3 shi_4 tu_2
主页	 zhu_3 ye_4
主题	 zhu_3 ti_2
主题乐园	 zhu_3 ti_2 le_4 yuan_2
主题曲	 zhu_3 ti_2 qu_1
主题歌	 zhu_3 ti_2 ge_1
丽	 li_4
丽丽	 li_4 li_4
丽日	 li_4 ri_4
丽水	 li_2 shui_3
丽水市	 li_2 shui_3 shi_4
丽江	 li_4 jiang_1
丽都	 li_4 du_1
举	 ju_3
乃	 nai_3
久	 jiu_3
么	 me_0
义	 yi_4
义乌	 yi_4 wu_1
义乌市	 yi_4 wu_1 shi_4
义勇军	 yi_4 yong_3 jun_1
义县	 yi_4 xian_4
义宁	 yi_4 ning_2
之	 zhi_1
之一	 zhi_1 yi_1
之三	 zhi_1 san_1
之上	 zhi_1 shang_4
之二	 zhi_1 er_4
之内	 zhi_1 nei_4
之前	 zhi_1 qian_2
之后	 zhi_1 hou_4
之外	 zhi_1 wai_4
之恋	 zhi_1 lian_4
之江	 zhi_1 jiang_1
之类	 zhi_1 lei_4
之谜	 zhi_1 mi_2
之间	 zhi_1 jian_1
乌	 wu_1
乌兰	 wu_1 lan_2
乌兰察布	 wu_1 lan_2 cha_2 bu_4
乌兰巴托	 wu_1 lan_2 ba_1 tuo_1
乌兰浩特	 wu_1 lan_2 hao_4 te_4
乌拉	 wu_4 la_0
乌拉特中旗	 wu_4 la_0 te_4 zhong_1 qi_2
乌拉特前旗	 wu_4 la_0 te_4 qian_2 qi_2
乌海	 wu_1 hai_3
乌衣巷	 wu_1 yi_1 xiang_4
乌镇	 wu_1 zhen_4
乌鲁木齐	 wu_1 lu_3 mu_4 qi_2
乌鲁木齐市	 wu_1 lu_3 mu_4 qi_2 shi_4
乐	 le_4
乐东县	 le_4 dong_1 xian_4
乐亭	 le_4 ting_2
乐亭县	 le_4 ting_2 xian_4
乐团	 yue_4 tuan_2
乐园	 le_4 yuan_2
乐坊	 le_4 fang_1
乐坛	 yue_4 tan_2
乐城	 le_4 cheng_2
乐天	 le_4 tian_1
乐安	 le_4 an_1
乐山	 le_4 shan_1
乐山市	 le_4 shan_1 shi_4
乐府	 yue_4 fu_3
乐曲	 yue_4 qu_3
乐清	 yue_4 qing_1
乐清市	 yue_4 qing_1 shi_4
乐谱	 yue_4 pu_3
乐都	 le_4 dou_1
乐队	 yue_4 dui_4
乒乓球	 ping_1 pang_1 qiu_2
乔	 qiao_2
乖	 guai_1
乖乖	 guai_1 guai_1
乘	 cheng_2
乘以	 cheng_2 yi_3
乘到	 cheng_2 dao_4
乘务	 cheng_2 wu_4
乘坐	 cheng_2 zuo_4
乘法	 cheng_2 fa_3
乘船	 cheng_2 chuan_2
乘风破浪	 cheng_2 feng_1 po_4 lang_4
乙	 yi_3
九	 jiu_3
九一八	 jiu_3 yi_1 ba_1
九七	 jiu_3 qi_1
九万	 jiu_3 wan_4
九三	 jiu_3 san_1
九三年	 jiu_3 san_1 nian_2
九下	 jiu_3 xia_4
九中	 jiu_3 zhong_1
九九	 jiu_3 jiu_3
九九九	 jiu_3 jiu_3 jiu_3
九二	 jiu_3 er_4
九五	 jiu_3 wu_3
九八	 jiu_3 ba_1
九六	 jiu_3 liu_4
九分	 jiu_3 fen_1
九十	 jiu_3 shi_2
九十一	 jiu_3 shi_2 yi_1
九十七	 jiu_3 shi_2 qi_1
九十三	 jiu_3 shi_2 san_1
九十九	 jiu_3 shi_2 jiu_3
九十八	 jiu_3 shi_2 ba_1
九十六	 jiu_3 shi_2 liu_4
九十年代	 jiu_3 shi_2 nian_2 dai_4
九十点	 jiu_3 shi_2 dian_3
九千	 jiu_3 qian_1
九华	 jiu_3 hua_2
九华山	 jiu_3 hua_4 shan_1
九台	 jiu_3 tai_2
九台市	 jiu_3 tai_2 shi_4
九号	 jiu_3 hao_4
九四	 jiu_3 si_4
九城	 jiu_3 cheng_2
九天	 jiu_3 tian_1
九宫格	 jiu_3 gong_1 ge_2
九寨	 jiu_3 zhai_4
九寨沟	 jiu_3 zhai_4 gou_1
九峰	 jiu_3 feng_1
九州	 jiu_3 zhou_1
九年	 jiu_3 nian_2
九张	 jiu_3 zhang_1
九所	 jiu_3 suo_3
九方	 jiu_3 fang_1
九日	 jiu_3 ri_4
九月	 jiu_3 yue_4
九月九	 jiu_3 yue_4 jiu_3
九月份	 jiu_3 yue_4 fen_4
九次	 jiu_3 ci_4
九歌	 jiu_3 ge_1
九江	 jiu_3 jiang_1
九江市	 jiu_3 jiang_1 shi_4
九江路	 jiu_3 jiang_1 lu_4
九渡河镇	 jiu_3 du_4 he_2 zhen_4
九点	 jiu_3 dian_3
九点半	 jiu_3 dian_3 ban_4
九百	 jiu_3 bai_3
九百九十九	 jiu_3 bai_3 jiu_3 shi_2 jiu_3
九街	 jiu_3 jie_1
九路	 jiu_3 lu_4
九道	 jiu_3 dao_4
九里	 jiu_3 li_3
九门	 jiu_3 men_2
九间	 jiu_3 jian_1
九零	 jiu_3 ling_2
九顶	 jiu_3 ding_3
九龙	 jiu_3 long_2
九龙坡区	 jiu_3 long_2 po_1 qu_1
九龙山	 jiu_3 long_2 shan_1
九龙湖	 jiu_3 long_2 hu_2
乞丐	 qi_3 gai_4
乞讨	 qi_3 tao_3
也	 ye_3
习	 xi_2
习惯	 xi_2 guan_4
习水县	 xi_2 shui_3 xian_4
习近平	 xi_2 jin_4 ping_2
乡	 xiang_1
乡下人	 xiang_1 xia_4 ren_2
乡宁	 xiang_1 ning_2
乡居	 xiang_1 ju_1
乡情	 xiang_1 qing_2
乡愁	 xiang_1 chou_2
乡政府	 xiang_1 zheng_4 fu_3
乡村	 xiang_1 cun_1
乡镇	 xiang_1 zhen_4
乡镇企业局	 xiang_1 zhen_4 qi_3 ye_4 ju_2
乡间	 xiang_1 jian_1
乡音	 xiang_1 yin_1
书	 shu_1
书刊	 shu_1 kan_1
书剑	 shu_1 jian_4
书包	 shu_1 bao_1
书城	 shu_1 cheng_2
书店	 shu_1 dian_4
书房	 shu_1 fang_2
书林	 shu_1 lin_2
书画	 shu_1 hua_4
书画家	 shu_1 hua_4 jia_1
书画艺术	 shu_1 hua_4 yi_4 shu_4
书籍	 shu_1 ji_2
书院	 shu_1 yuan_4
书香	 shu_1 xiang_1
书香世家	 shu_1 xiang_1 shi_4 jia_1
书香门第	 shu_1 xiang_1 men_2 di_4
买	 mai_3
买下	 mai_3 xia_4
买到	 mai_3 dao_4
买卖	 mai_3 mai_4
买去	 mai_3 qu_4
买手机	 mai_3 shou_3 ji_1
买醉	 mai_3 zui_4
乱	 luan_4
乱马	 luan_4 ma_3
乳	 ru_3
乳品	 ru_3 pin_3
乾	 qian_2
乾安	 qian_2 an_1
了	 le_0
了解	 liao_3 jie_3
争议	 zheng_1 yi_4
事	 shi_4
事业	 shi_4 ye_4
事件	 shi_4 jian_4
事儿	 shi_4 er_2
事务	 shi_4 wu_4
事情	 shi_4 qing_2
事故	 shi_4 gu_4
事项	 shi_4 xiang_4
二	 er_4
二七	 er_4 qi_1
二七区	 er_4 qi_1 qu_1
二七路	 er_4 qi_1 lu_4
二三	 er_4 san_1
二三层	 er_4 san_1 ceng_2
二中	 er_4 zhong_1
二九	 er_4 jiu_3
二九二	 er_4 jiu_3 er_4
二二	 er_4 er_4
二二八	 er_4 er_4 ba_1
二五	 er_4 wu_3
二人	 er_4 ren_2
二人转	 er_4 ren_2 zhuan_4
二倍	 er_4 bei_4
二元	 er_4 yuan_2
二八	 er_4 ba_1
二六	 er_4 liu_4
二六二	 er_4 liu_4 er_4
二分	 er_4 fen_1
二区	 er_4 qu_1
二十	 er_4 shi_2
二十一	 er_4 shi_2 yi_1
二十一日	 er_4 shi_2 yi_1 ri_4
二十七	 er_4 shi_2 qi_1
二十七日	 er_4 shi_2 qi_1 ri_4
二十三	 er_4 shi_2 san_1
二十三日	 er_4 shi_2 san_1 ri_4
二十九	 er_4 shi_2 jiu_3
二十九日	 er_4 shi_2 jiu_3 ri_4
二十二	 er_4 shi_2 er_4
二十二号	 er_4 shi_2 er_4 hao_4
二十二日	 er_4 shi_2 er_4 ri_4
二十二点	 er_4 shi_2 er_4 dian_3
二十五	 er_4 shi_2 wu_3
二十五日	 er_4 shi_2 wu_3 ri_4
二十元	 er_4 shi_2 yuan_2
二十八	 er_4 shi_2 ba_1
二十八日	 er_4 shi_2 ba_1 ri_4
二十八点	 er_4 shi_2 ba_1 dian_3
二十六	 er_4 shi_2 liu_4
二十六日	 er_4 shi_2 liu_4 ri_4
二十四	 er_4 shi_2 si_4
二十四日	 er_4 shi_2 si_4 ri_4
二十四点	 er_4 shi_2 si_4 dian_3
二十四节气	 er_4 shi_2 si_4 jie_2 qi_4
二十块	 er_4 shi_2 kuai_4
二十多	 er_4 shi_2 duo_1
二十年	 er_4 shi_2 nian_2
二十度	 er_4 shi_2 du_4
二十日	 er_4 shi_2 ri_4
二十点	 er_4 shi_2 dian_3
二十米	 er_4 shi_2 mi_3
二千	 er_4 qian_1
二千五百	 er_4 qian_1 wu_3 bai_3
二千五百元	 er_4 qian_1 wu_3 bai_3 yuan_2
二千元	 er_4 qian_1 yuan_2
二号	 er_4 hao_4
二号桥	 er_4 hao_4 qiao_2
二号楼	 er_4 hao_4 lou_2
二号线	 er_4 hao_4 xian_4
二哥	 er_4 ge_1
二四	 er_4 si_4
二四六	 er_4 si_4 liu_4
二外	 er_4 wai_4
二天	 er_4 tian_1
二子	 er_4 zi_0
二小	 er_4 xiao_3
二层	 er_4 ceng_2
二岁	 er_4 sui_4
二度	 er_4 du_4
二座	 er_4 zuo_4
二房	 er_4 fang_2
二手	 er_4 shou_3
二手车	 er_4 shou_3 che_1
二日	 er_4 ri_4
二星	 er_4 xing_1
二星级	 er_4 xing_1 ji_2
二月	 er_4 yue_4
二月份	 er_4 yue_4 fen_4
二期	 er_4 qi_1
二条	 er_4 tiao_2
二栋	 er_4 dong_4
二档	 er_4 dang_4
